05-09-2019,0,start, 9:34:01 PM
05-09-2019,1,PN1234, 9:34:05 PM
05-09-2019,0,start, 9:34:29 PM
05-09-2019,1,PN1234, 9:34:32 PM
05-09-2019,0,start, 9:35:52 PM
05-09-2019,1,PN1234, 9:35:55 PM
05-09-2019,2,PN1234, 9:36:05 PM
05-09-2019,3,PN1234, 9:36:07 PM
05-09-2019,4,PN1234, 9:36:09 PM
05-09-2019,5,PN1234, 9:36:19 PM
05-09-2019,5, Unit Goal Met!, 9:36:19 PM
05-09-2019,6,PN1234, 9:36:22 PM
05-09-2019,0,start, 9:36:31 PM
05-09-2019,0,start, 9:36:40 PM
05-09-2019,1,PN1234, 9:36:41 PM
05-09-2019,0,end, 9:36:51 PM
05-09-2019,0,start, 9:50:28 PM
05-09-2019,0,end, 9:50:31 PM
05-09-2019,0,start, 9:50:36 PM
05-09-2019,1,PN1234, 9:50:38 PM
05-09-2019,2,PN1234, 9:50:40 PM
05-09-2019,3,PN1234, 9:50:42 PM
05-09-2019,4,PN1234, 9:50:43 PM
05-09-2019,5,PN1234, 9:50:44 PM
05-09-2019,5, Unit Goal Met!, 9:50:44 PM
05-09-2019,0,start, 9:54:31 PM
05-09-2019,0,end, 9:54:35 PM
05-09-2019,0,start, 9:54:37 PM
05-09-2019,1,PN1234, 9:54:39 PM
05-10-2019,0,start, 11:29:45 AM
05-10-2019,0,end, 11:29:49 AM
05-10-2019,0,start, 2:03:36 PM
05-10-2019,1,PN1234, 2:03:39 PM
05-10-2019,2,PN1234, 2:03:43 PM
05-10-2019,3,PN1234, 2:03:46 PM
05-10-2019,4,PN1234, 2:03:50 PM
05-10-2019,5,PN1234, 2:04:45 PM
05-10-2019,5, Unit Goal Met!, 2:04:45 PM
05-10-2019,0,start, 2:05:00 PM
05-10-2019,0,start, 2:23:04 PM
05-10-2019,1,PN1234, 2:23:10 PM
05-10-2019,2,PN1234, 2:23:13 PM
05-10-2019,3,PN1234, 2:23:14 PM
05-10-2019,4,PN1234, 2:23:15 PM
05-10-2019,5,PN1234, 2:23:16 PM
05-10-2019,5, Unit Goal Met!, 2:23:16 PM
05-10-2019,0,end, 2:23:21 PM
05-10-2019,0,end, 2:23:27 PM
05-10-2019,0,end, 2:23:34 PM
05-10-2019,0,start, 2:23:45 PM
05-10-2019,1,PN1234, 2:23:46 PM
05-10-2019,0,end, 2:23:48 PM
05-10-2019,0,start, 2:23:49 PM
